Date,Action,Details
Date,Action,Details
Date,Action,Details
2025-12-27T16:55:46.1969457,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:04:40.0143527,LOGOUT,Utilisateur: admin
2025-12-27T17:04:51.9332703,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:13:44.3344664,LOGOUT,Utilisateur: admin
2025-12-27T17:13:53.102507,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:14:00.0245942,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-27T17:15:06.0185381,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
Date,Action,Details
2025-12-27T17:18:42.2670251,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:20:25.7107902,LOGOUT,Utilisateur: admin
2025-12-27T17:20:35.8533698,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:20:52.1599662,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-27T17:30:37.2217605,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:31:47.2182357,LOGOUT,Utilisateur: admin
2025-12-27T17:31:56.2976723,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:32:06.6238816,LOGOUT,Utilisateur: admin
2025-12-27T17:32:14.5138453,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:39:46.6742804,LOGOUT,Utilisateur: admin
2025-12-27T17:40:06.4769388,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:08.2932259,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:20.5125103,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:21.8489413,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:22.0742038,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
